454   0.000000 __libc_start_main(0x401f50, 2, 0x7fff637b0c48, 0x406b90, 0x406c20 <unfinished ...>
454   0.000084 JLI_MemFree(0, 134464, 0x7f50545d1720, 0x400000, 3)                                              = 0
454   0.000076 strcspn("-server KNOWN", " \t")                                                                  = 7
454   0.000070 strspn("KNOWN", " \t")                                                                           = 0
454   0.000064 JLI_StringDup(0x7fff637ac870, 0x7fff637ac87d, 0x19d32d0, 0, 0)                                   = 0x19d3420
454   0.000072 fgets("", 1424086610, 0x19d3170)                                                                 = 0x7fff637ac870
454   0.000066 strcspn("-client IGNORE", " \t")                                                                 = 7
454   0.000060 strspn("IGNORE", " \t")                                                                          = 0
454   0.000059 JLI_StringDup(0x7fff637ac870, 0x7fff637ac87e, 0x19d32f0, 0, 0)                                   = 0x19d3440
454   0.000070 fgets("", 1424086625, 0x19d3170)                                                                 = 0x7fff637ac870
454   0.000066 strcspn("-hotspot ERROR", " \t")                                                                 = 8
454   0.000059 strspn("ERROR", " \t")                                                                           = 0
454   0.000059 JLI_StringDup(0x7fff637ac870, 0x7fff637ac87e, 0x19d3310, 0, 0)                                   = 0x19d3460
454   0.000070 fgets("", 1424086639, 0x19d3170)                                                                 = 0x7fff637ac870
454   0.000196 strcspn("-classic WARN", " \t")                                                                  = 8
454   0.000143 strspn("WARN", " \t")                                                                            = 0
454   0.000065 JLI_StringDup(0x7fff637ac870, 0x7fff637ac87d, 0x19d3330, 0, 0)                                   = 0x19d3480
454   0.000088 fgets("", 1424086653, 0x19d3170)                                                                 = 0x7fff637ac870
454   0.000066 strcspn("-native ERROR", " \t")                                                                  = 7
454   0.000059 strspn("ERROR", " \t")                                                                           = 0
454   0.000056 JLI_StringDup(0x7fff637ac870, 0x7fff637ac87d, 0x19d3350, 0, 0)                                   = 0x19d34a0
454   0.000071 fgets("", 1424086666, 0x19d3170)                                                                 = 0x7fff637ac870
454   0.000064 strcspn("-green ERROR", " \t")                                                                   = 6
454   0.000057 strspn("ERROR", " \t")                                                                           = 0
454   0.000056 JLI_StringDup(0x7fff637ac870, 0x7fff637ac87c, 0x19d3370, 0, 0)                                   = 0x19d34c0
454   0.000080 fgets("", 1424086679, 0x19d3170)                                                                 = 0x7fff637ac870
454   0.000108 strcspn("-jamvm KNOWN", " \t")                                                                   = 6
454   0.000058 strspn("KNOWN", " \t")                                                                           = 0
454   0.000056 JLI_StringDup(0x7fff637ac870, 0x7fff637ac87c, 0x19d3390, 0, 0)                                   = 0x19d34e0
454   0.000068 fgets("", 1424086692, 0x19d3170)                                                                 = 0x7fff637ac870
454   0.000064 strcspn("-cacao KNOWN", " \t")                                                                   = 6
454   0.000057 strspn("KNOWN", " \t")                                                                           = 0
454   0.000057 JLI_StringDup(0x7fff637ac870, 0x7fff637ac87c, 0x19d33b0, 0, 0)                                   = 0x19d3500
454   0.000066 fgets("", 1424086704, 0x19d3170)                                                                 = 0x7fff637ac870
454   0.000063 strcspn("-zero KNOWN", " \t")                                                                    = 5
454   0.000075 strspn("KNOWN", " \t")                                                                           = 0
