20973   0.000000 __libc_start_main(0x401f50, 2, 0x7fffacba4bc8, 0x406b90, 0x406c20 <unfinished ...>
20973   0.000098 JLI_MemAlloc(320, 0x7fd78048f643, 0, 0x7fffacba07f0, 1)                                        = 0x6f32d0
20973   0.000085 JLI_MemFree(0, 134464, 0x7fd77fc43720, 0x400000, 3)                                            = 0
20973   0.000076 strcspn("-server KNOWN", " \t")                                                                = 7
20973   0.000068 strspn("KNOWN", " \t")                                                                         = 0
20973   0.000063 JLI_StringDup(0x7fffacba07f0, 0x7fffacba07fd, 0x6f32d0, 0, 0)                                  = 0x6f3420
20973   0.000071 fgets("", -2142701998, 0x6f3170)                                                               = 0x7fffacba07f0
20973   0.000066 strcspn("-client IGNORE", " \t")                                                               = 7
20973   0.000060 strspn("IGNORE", " \t")                                                                        = 0
20973   0.000058 JLI_StringDup(0x7fffacba07f0, 0x7fffacba07fe, 0x6f32f0, 0, 0)                                  = 0x6f3440
20973   0.000070 fgets("", -2142701983, 0x6f3170)                                                               = 0x7fffacba07f0
20973   0.000065 strcspn("-hotspot ERROR", " \t")                                                               = 8
20973   0.000060 strspn("ERROR", " \t")                                                                         = 0
20973   0.000058 JLI_StringDup(0x7fffacba07f0, 0x7fffacba07fe, 0x6f3310, 0, 0)                                  = 0x6f3460
20973   0.000070 fgets("", -2142701969, 0x6f3170)                                                               = 0x7fffacba07f0
20973   0.000065 strcspn("-classic WARN", " \t")                                                                = 8
20973   0.000060 strspn("WARN", " \t")                                                                          = 0
20973   0.000059 JLI_StringDup(0x7fffacba07f0, 0x7fffacba07fd, 0x6f3330, 0, 0)                                  = 0x6f3480
20973   0.000069 fgets("", -2142701955, 0x6f3170)                                                               = 0x7fffacba07f0
20973   0.000066 strcspn("-native ERROR", " \t")                                                                = 7
20973   0.000060 strspn("ERROR", " \t")                                                                         = 0
20973   0.000058 JLI_StringDup(0x7fffacba07f0, 0x7fffacba07fd, 0x6f3350, 0, 0)                                  = 0x6f34a0
20973   0.000070 fgets("", -2142701942, 0x6f3170)                                                               = 0x7fffacba07f0
20973   0.000065 strcspn("-green ERROR", " \t")                                                                 = 6
20973   0.000059 strspn("ERROR", " \t")                                                                         = 0
20973   0.000057 JLI_StringDup(0x7fffacba07f0, 0x7fffacba07fc, 0x6f3370, 0, 0)                                  = 0x6f34c0
20973   0.000068 fgets("", -2142701929, 0x6f3170)                                                               = 0x7fffacba07f0
20973   0.000063 strcspn("-jamvm KNOWN", " \t")                                                                 = 6
20973   0.000057 strspn("KNOWN", " \t")                                                                         = 0
20973   0.000056 JLI_StringDup(0x7fffacba07f0, 0x7fffacba07fc, 0x6f3390, 0, 0)                                  = 0x6f34e0
20973   0.000067 fgets("", -2142701916, 0x6f3170)                                                               = 0x7fffacba07f0
20973   0.000063 strcspn("-cacao KNOWN", " \t")                                                                 = 6
20973   0.000057 strspn("KNOWN", " \t")                                                                         = 0
20973   0.000055 JLI_StringDup(0x7fffacba07f0, 0x7fffacba07fc, 0x6f33b0, 0, 0)                                  = 0x6f3500
20973   0.000068 fgets("", -2142701904, 0x6f3170)                                                               = 0x7fffacba07f0
20973   0.000062 strcspn("-zero KNOWN", " \t")                                                                  = 5
20973   0.000065 strspn("KNOWN", " \t")                                                                         = 0
20973   0.000057 JLI_StringDup(0x7fffacba07f0, 0x7fffacba07fb, 0x6f33d0, 0, 0)                                  = 0x6f3520
20973   0.000068 fgets("", -2142701891, 0x6f3170)                                                               = 0x7fffacba07f0
20973   0.000063 strcspn("-shark ERROR", " \t")                                                                 = 6
20973   0.000058 strspn("ERROR", " \t")                                                                         = 0
20973   0.000055 JLI_StringDup(0x7fffacba07f0, 0x7fffacba07fc, 0x6f33f0, 0, 0)                                  = 0x6f3540
20973   0.000068 fgets("\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377"..., -2142703616, 0x6f3170) = NULL
