.000056,.000060,.000066,.000026,
.000039,.000035,.000025,.000043,
.000072,.000071,.000024,.000063,
.000074,.000031,.000025,.000065,
.000040,.000031,.000057,.000075,
.000040,.000028,.000059,.000071,
.000050,.000031,.000022,.000020,
.000049,.000087,.000025,.000075,
.000040,.000059,.000052,.000020,
.000050,.000050,.000038,.000035,
.000040,.000067,.000028,.000056,
.000040,.000031,.000024,.000057,
.000039,.000048,.000025,.000022,
.000040,.000032,.000024,.000053,
.000039,.000036,.000037,.000021,
.000039,.000064,.000057,.000030,
.000039,.000069,.000036,.000026,
.000039,.000032,.000025,.000024,
.000039,.000080,.000027,.000025,
.000049,.000034,.000023,.000057,
.000041,.000031,.000058,.000026,
.000042,.000041,.000024,.000085,
.000037,.000047,.000025,.000035,
.000041,.000027,.000023,.000074,
.000072,.000084,.000025,.000023,
.000038,.000039,.000067,.000072,
.000037,.000034,.000026,.000039,
.000050,.000031,.000022,.000021,
.000041,.000065,.000028,.000026,
.000050,.000031,.000022,.000021,
.000039,.000027,.000026,.000056,
.000049,.000031,.000022,.000053,
.000040,.000047,.000027,.000046,
.000039,.000031,.000082,.000025,
.000039,.000031,.000025,.000027,
.000040,.000091,.000028,.000027,
.000039,.000041,.000036,.000065,
.000040,.000029,.000026,.000056,
.000040,.000032,.000062,.000026,
.000049,.000024,.000022,.000052,
.000040,.000086,.000064,.000056,
.000050,.000076,.000035,.000027,
.000039,.000031,.000025,.000057,
.000040,.000046,.000066,.000025,
.000051,.000044,.000057,.000056,
.000053,.000031,.000022,.000021,
.000050,.000030,.000021,.000020,
.000039,.000065,.000036,.000026,
.000038,.000031,.000058,.000072,
.000040,.000026,.000028,.000029,
.000038,.000064,.000057,.000056,
.000040,.000031,.000034,.000021,
.000089,.000027,.000030,.000032,
.000049,.000079,.000025,.000071,
.000044,.000112,.000073,.000025,
.000039,.000045,.000026,.000042,
.000039,.000034,.000025,.000057,
.000039,.000063,.000057,.000025,
.000051,.000044,.000059,.000026,
.000039,.000064,.000124,.000022,
.000050,.000031,.000021,.000019,
.000039,.000046,.000026,.000058,
.000040,.000073,.000025,.000024,
.000039,.000072,.000024,.000025,
.000038,.000035,.000028,.000025,
.000040,.000083,.000026,.000024,
.000039,.000031,.000027,.000027,
.000039,.000030,.000058,.000056,
.000050,.000040,.000024,.000034,
.000038,.000086,.000023,.000075,
.000039,.000044,.000040,.000028,
.000038,.000028,.000026,.000024,
.000039,.000048,.000024,.000066,
.000085,.000052,.000044,.000047,
.000041,.000085,.000025,.000065,
.000079,.000101,.000044,.000084,
.000039,.000045,.000051,.000051,
.000041,.000022,.000041,.000081,
.000039,.000069,.000077,.000040,
.000739,.000026,.000023,.000021,
.000073,.000046,.000045,.000041,
.000079,.000053,.000040,.000033,
.000092,.000090,.000045,.000042,
.000041,.000052,.000081,.000073,
.000031,.000033,.000058,.000025,
.000049,.000064,.000059,.000027,
.000039,.000032,.000031,.000025,
.000040,.000026,.000023,.000084,
.000039,.000027,.000023,.000025,
.000041,.000043,.000058,.000120,
.000039,.000053,.000082,.000080,
.000069,.000072,.000024,.000039,
.000041,.000065,.000060,.000057,
.000040,.000085,.000028,.000024,
.000052,.000034,.000023,.000021,
.000039,.000030,.000039,.000026,
.000039,.000042,.000027,.000024,
.000039,.000063,.000045,.000075,
.000089,.000084,.000025,.000067,
.000073,.000055,.000090,.000044,
