7077   0.000000 __libc_start_main(0x401f50, 2, 0x7fff86b7a4c8, 0x406b90, 0x406c20 <unfinished ...>
7077   0.000133 JLI_MemFree(0, 134464, 0x7f228c351720, 0x400000, 3)                                             = 0
7077   0.000117 strcspn("-server KNOWN", " \t")                                                                 = 7
7077   0.000118 strspn("KNOWN", " \t")                                                                          = 0
7077   0.000110 JLI_StringDup(0x7fff86b760f0, 0x7fff86b760fd, 0xab62d0, 0, 0)                                   = 0xab6420
7077   0.000115 fgets("", -1933978030, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000109 strcspn("-client IGNORE", " \t")                                                                = 7
7077   0.000106 strspn("IGNORE", " \t")                                                                         = 0
7077   0.000105 JLI_StringDup(0x7fff86b760f0, 0x7fff86b760fe, 0xab62f0, 0, 0)                                   = 0xab6440
7077   0.000156 fgets("", -1933978015, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000112 strcspn("-hotspot ERROR", " \t")                                                                = 8
7077   0.000105 strspn("ERROR", " \t")                                                                          = 0
7077   0.000105 JLI_StringDup(0x7fff86b760f0, 0x7fff86b760fe, 0xab6310, 0, 0)                                   = 0xab6460
7077   0.000112 fgets("", -1933978001, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000111 strcspn("-classic WARN", " \t")                                                                 = 8
7077   0.000105 strspn("WARN", " \t")                                                                           = 0
7077   0.000102 JLI_StringDup(0x7fff86b760f0, 0x7fff86b760fd, 0xab6330, 0, 0)                                   = 0xab6480
7077   0.000116 fgets("", -1933977987, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000180 strcspn("-native ERROR", " \t")                                                                 = 7
7077   0.000106 strspn("ERROR", " \t")                                                                          = 0
7077   0.000102 JLI_StringDup(0x7fff86b760f0, 0x7fff86b760fd, 0xab6350, 0, 0)                                   = 0xab64a0
7077   0.000102 fgets("", -1933977974, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000099 strcspn("-green ERROR", " \t")                                                                  = 6
7077   0.000100 strspn("ERROR", " \t")                                                                          = 0
7077   0.000092 JLI_StringDup(0x7fff86b760f0, 0x7fff86b760fc, 0xab6370, 0, 0)                                   = 0xab64c0
7077   0.000099 fgets("", -1933977961, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000096 strcspn("-jamvm KNOWN", " \t")                                                                  = 6
7077   0.000093 strspn("KNOWN", " \t")                                                                          = 0
7077   0.000090 JLI_StringDup(0x7fff86b760f0, 0x7fff86b760fc, 0xab6390, 0, 0)                                   = 0xab64e0
7077   0.000100 fgets("", -1933977948, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000098 strcspn("-cacao KNOWN", " \t")                                                                  = 6
7077   0.000106 strspn("KNOWN", " \t")                                                                          = 0
7077   0.000089 JLI_StringDup(0x7fff86b760f0, 0x7fff86b760fc, 0xab63b0, 0, 0)                                   = 0xab6500
7077   0.000069 fgets("", -1933977936, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000062 strcspn("-zero KNOWN", " \t")                                                                   = 5
7077   0.000070 strspn("KNOWN", " \t")                                                                          = 0
7077   0.000057 JLI_StringDup(0x7fff86b760f0, 0x7fff86b760fb, 0xab63d0, 0, 0)                                   = 0xab6520
7077   0.000067 fgets("", -1933977923, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000062 strcspn("-shark ERROR", " \t")                                                                  = 6
7077   0.000057 strspn("ERROR", " \t")                                                                          = 0
7077   0.000054 JLI_StringDup(0x7fff86b760f0, 0x7fff86b760fc, 0xab63f0, 0, 0)                                   = 0xab6540
7077   0.000066 fgets("\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377"..., -1933979648, 0xab6170) = NULL
7077   0.000084 fclose(0xab6090)                                                                                = 0
7077   0.000121 getenv("JDK_ALTERNATE_VM")                                                                      = NULL
7077   0.000062 JLI_MemAlloc(24, 0xffffff80, 7, 74, 0x7f228cb93700)                                             = 0xab6090
7077   0.000072 strchr("server", '/')                                                                           = NULL
7077   0.000066 __sprintf_chk(0x7fff86b793a0, 1, -1, 0x4078da, 0x7fff86b783a0)                                  = 64
7077   0.000070 __xstat(1, "/usr/lib/jvm/java-6-openjdk-amd6"..., 0x7fff86b771b0)                               = 0
7077   0.000089 getenv("LD_LIBRARY_PATH")                                                                       = NULL
7077   0.000059 getgid()                                                                                        = 1000
7077   0.000068 getegid()                                                                                       = 1000
7077   0.000065 getuid()                                                                                        = 1000
7077   0.000064 geteuid()                                                                                       = 1000
7077   0.000064 JLI_StringDup(0x7fff86b793a0, 0x7fff86b771b0, 15, -1, 0x7fff86b793d6)                           = 0xab60b0
7077   0.000121 strlen("amd64")                                                                                 = 5
7077   0.000062 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                   = 37
7077   0.000062 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                   = 64
7077   0.000061 JLI_MemAlloc(200, 0x7fff86b793e1, 0, 48, 0x2f3436646d612f62)                                    = 0xab6100
7077   0.000070 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                             = "/libjvm.so"
7077   0.000064 __sprintf_chk(0xab6100, 1, -1, 0x407b90, 0xab60b0)                                              = 169
7077   0.000070 putenv("LD_LIBRARY_PATH=/usr/lib/jvm/jav"...)                                                   = 0
7077   0.000075 fflush(0x7f228c352260)                                                                          = 0
7077   0.000061 fflush(0x7f228c352180)                                                                          = 0
7077   0.000057 execve(0xab6030, 0xab6070, 0xab61d0, 0x7fff86b7afd8, 0x7f228cb93700 <unfinished ...>
7077   0.000326 --- Called exec() ---
7077   0.002175 __libc_start_main(0x401f50, 2, 0x7fff05fba048, 0x406b90, 0x406c20 <unfinished ...>
7077   0.000074 getenv("_JAVA_LAUNCHER_DEBUG")                                                                  = NULL
7077   0.000078 getenv("_JAVA_VERSION_SET")                                                                     = NULL
7077   0.000066 JLI_MemAlloc(24, 0x7fff05fba048, 8, 95, 0x406c20)                                               = 0x7aa010
7077   0.000151 JLI_FreeManifest(0, 0x7aa020, 0x7fff05fba050, 0, 3)                                             = 0x7fff05fbad06
7077   0.000083 JLI_MemFree(0x7aa010, 0x7aa020, 0x7fff05fba050, 0, 3)                                           = 0
7077   0.000075 JLI_MemAlloc(24, 0xffffffff, 0, 0x7fdbdef47728, 3)                                              = 0x7aa010
7077   0.000076 readlink(0x4077db, 0x7fff05fb5c80, 4096, 4096, 0x7fff05fb8f20)                                  = 46
7077   0.000116 strncmp("/cow/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 5)                                      = -18
7077   0.000073 strlen("/persistmnt/")                                                                          = 12
7077   0.000145 strncmp("/persistmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 12)                              = -5
7077   0.000066 strlen("/rofs/")                                                                                = 6
7077   0.000055 strncmp("/rofs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                     = -3
7077   0.000063 strlen("/rwfs/")                                                                                = 6
7077   0.000055 strncmp("/rwfs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                     = -3
7077   0.000060 strlen("/squashmnt/")                                                                           = 11
7077   0.000055 strncmp("/squashmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 11)                               = -2
7077   0.000062 JLI_StringDup(0x7fff05fb5c80, 0x7fff05fb5c80, 1, 117, 65535)                                    = 0x7aa030
7077   0.000076 JLI_MemAlloc(24, 0x7fff05fb5caf, 0x7fff05fb6e4c, 0x6176616a2f6e69, 0x76616a2f6d766a2f)          = 0x7aa070
7077   0.000070 strncpy(0x7fff05fb7f20, "/usr/lib/jvm/java-6-openjdk-amd6"..., 4095)                            = 0x7fff05fb7f20
7077   0.000072 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                             = "/java"
7077   0.000066 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                   = 41
7077   0.000059 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                             = "/bin"
7077   0.000061 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                             = "/bin"
7077   0.000061 __sprintf_chk(0x7fff05fb5c90, 1, 4096, 0x40788e, 0x7fff05fb7f20)                                = 58
7077   0.000083 access("/usr/lib/jvm/java-6-openjdk-amd6"..., 0)                                                = 0
7077   0.000090 __strcpy_chk(0x7fff05fb4c50, 0x7fff05fb7f20, 4126, -1, 0x7fff05fb5cbf)                          = 0x7fff05fb4c50
7077   0.000078 __strcat_chk(0x7fff05fb4c50, 0x407230, 4126, 0, 0xfefefefefefefeff)                             = 0x7fff05fb4c50
7077   0.000070 __strcat_chk(0x7fff05fb4c50, 0x407811, 4126, 0, 0x7fff05fb4c74)                                 = 0x7fff05fb4c50
7077   0.000068 __strcat_chk(0x7fff05fb4c50, 0x407236, 4126, 0, 0x7fff05fb4c79)                                 = 0x7fff05fb4c50
7077   0.000066 fopen("/usr/lib/jvm/java-6-openjdk-amd6"..., "r")                                               = 0x7aa090
7077   0.000103 fgets("", -545705911, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000121 fgets("", -545705847, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000061 fgets("", -545705845, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000059 fgets("", -545705774, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545705703, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000060 fgets("", -545705634, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000059 fgets("", -545705564, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000067 fgets("", -545705504, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000060 fgets("", -545705502, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545705427, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000059 fgets("", -545705355, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545705283, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000059 fgets("", -545705209, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545705183, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545705181, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000059 fgets("", -545705105, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000058 fgets("", -545705032, 0x7aa170)                                                                 = 0x7fff05fb5c70
7077   0.000059 fgets("", -545704968, 0x7aa170)                                                                 = 0x7fff05fb5c70
