849   0.000000 __libc_start_main(0x401f50, 2, 0x7fff1fd2cc98, 0x406b90, 0x406c20 <unfinished ...>
849   0.000064 JLI_MemAlloc(320, 0x7fcdbd0a8643, 0, 0x7fff1fd288c0, 1)                                          = 0x20102d0
849   0.000087 JLI_MemFree(0, 134464, 0x7fcdbc85c720, 0x400000, 3)                                              = 0
849   0.000075 strcspn("-server KNOWN", " \t")                                                                  = 7
849   0.000069 strspn("KNOWN", " \t")                                                                           = 0
849   0.000064 JLI_StringDup(0x7fff1fd288c0, 0x7fff1fd288cd, 0x20102d0, 0, 0)                                   = 0x2010420
849   0.000072 fgets("", -1123383726, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000065 strcspn("-client IGNORE", " \t")                                                                 = 7
849   0.000061 strspn("IGNORE", " \t")                                                                          = 0
849   0.000060 JLI_StringDup(0x7fff1fd288c0, 0x7fff1fd288ce, 0x20102f0, 0, 0)                                   = 0x2010440
849   0.000071 fgets("", -1123383711, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000065 strcspn("-hotspot ERROR", " \t")                                                                 = 8
849   0.000061 strspn("ERROR", " \t")                                                                           = 0
849   0.000060 JLI_StringDup(0x7fff1fd288c0, 0x7fff1fd288ce, 0x2010310, 0, 0)                                   = 0x2010460
849   0.000071 fgets("", -1123383697, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000069 strcspn("-classic WARN", " \t")                                                                  = 8
849   0.000103 strspn("WARN", " \t")                                                                            = 0
849   0.000095 JLI_StringDup(0x7fff1fd288c0, 0x7fff1fd288cd, 0x2010330, 0, 0)                                   = 0x2010480
849   0.000074 fgets("", -1123383683, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000066 strcspn("-native ERROR", " \t")                                                                  = 7
849   0.000061 strspn("ERROR", " \t")                                                                           = 0
849   0.000059 JLI_StringDup(0x7fff1fd288c0, 0x7fff1fd288cd, 0x2010350, 0, 0)                                   = 0x20104a0
849   0.000068 fgets("", -1123383670, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000064 strcspn("-green ERROR", " \t")                                                                   = 6
849   0.000058 strspn("ERROR", " \t")                                                                           = 0
849   0.000057 JLI_StringDup(0x7fff1fd288c0, 0x7fff1fd288cc, 0x2010370, 0, 0)                                   = 0x20104c0
849   0.000069 fgets("", -1123383657, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000063 strcspn("-jamvm KNOWN", " \t")                                                                   = 6
849   0.000058 strspn("KNOWN", " \t")                                                                           = 0
849   0.000057 JLI_StringDup(0x7fff1fd288c0, 0x7fff1fd288cc, 0x2010390, 0, 0)                                   = 0x20104e0
849   0.000068 fgets("", -1123383644, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000064 strcspn("-cacao KNOWN", " \t")                                                                   = 6
849   0.000058 strspn("KNOWN", " \t")                                                                           = 0
849   0.000057 JLI_StringDup(0x7fff1fd288c0, 0x7fff1fd288cc, 0x20103b0, 0, 0)                                   = 0x2010500
849   0.000067 fgets("", -1123383632, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000063 strcspn("-zero KNOWN", " \t")                                                                    = 5
849   0.000066 strspn("KNOWN", " \t")                                                                           = 0
849   0.000059 JLI_StringDup(0x7fff1fd288c0, 0x7fff1fd288cb, 0x20103d0, 0, 0)                                   = 0x2010520
849   0.000069 fgets("", -1123383619, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000062 strcspn("-shark ERROR", " \t")                                                                   = 6
849   0.000059 strspn("ERROR", " \t")                                                                           = 0
849   0.000099 JLI_StringDup(0x7fff1fd288c0, 0x7fff1fd288cc, 0x20103f0, 0, 0)                                   = 0x2010540
849   0.000077 fgets("\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377"..., -1123385344, 0x2010170) = NULL
849   0.000085 fclose(0x2010090)                                                                                = 0
849   0.000110 getenv("JDK_ALTERNATE_VM")                                                                       = NULL
849   0.000063 JLI_MemAlloc(24, 0xffffff80, 7, 74, 0x7fcdbd09e700)                                              = 0x2010090
849   0.000073 strchr("server", '/')                                                                            = NULL
849   0.000065 __sprintf_chk(0x7fff1fd2bb70, 1, -1, 0x4078da, 0x7fff1fd2ab70)                                   = 64
849   0.000072 __xstat(1, "/usr/lib/jvm/java-6-openjdk-amd6"..., 0x7fff1fd29980)                                = 0
849   0.000086 getenv("LD_LIBRARY_PATH")                                                                        = NULL
849   0.000060 getgid()                                                                                         = 1000
849   0.000070 getegid()                                                                                        = 1000
849   0.000066 getuid()                                                                                         = 1000
849   0.000065 geteuid()                                                                                        = 1000
849   0.000067 JLI_StringDup(0x7fff1fd2bb70, 0x7fff1fd29980, 15, -1, 0x7fff1fd2bba6)                            = 0x20100b0
849   0.000070 strlen("amd64")                                                                                  = 5
849   0.000060 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 37
849   0.000062 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 64
849   0.000062 JLI_MemAlloc(200, 0x7fff1fd2bbb1, 0, 48, 0x2f3436646d612f62)                                     = 0x2010100
849   0.000071 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/libjvm.so"
849   0.000065 __sprintf_chk(0x2010100, 1, -1, 0x407b90, 0x20100b0)                                             = 169
849   0.000071 putenv("LD_LIBRARY_PATH=/usr/lib/jvm/jav"...)                                                    = 0
849   0.000074 fflush(0x7fcdbc85d260)                                                                           = 0
